UUID,Artist,Track title,Album,Duration (milliseconds)
a6438946-d8c9-3453-b8ea-14ec50a117d0,Anouk,Might As Well,Who's Your Momma,189544
9f54c693-3117-34f6-98f2-2cd15d0974d5,Apocalyptica,Nothing Else Matters,Inquisition Symphony,285544
f38b97ba-04cf-30e8-abec-58b93327403e,Apocalyptica,Path,Cult,186000
440b2f59-8140-3b59-a272-2d300ac4f9f8,Apocalyptica,Romance,Cult,207000
38a6da21-b13b-3a89-bfdb-96aef741648e,Apocalyptica,Until It Sleeps,Cult,194000
84a01cc3-afff-35a9-99bf-84ec7f14138d,Arch Enemy,Time Is Black [Instrumental],War Eternal [Limited Artbook  Edition] : CD 3 Instrumental Play-Through,326269
e25d3beb-c40e-362f-b644-b70e85a2575a,Ardis,Ain't Nobody's Business (Radio Edit),Love Addict,192000
b49b8b65-71f5-3e9f-95fe-73cdfe6d0432,Asking Alexandria,Moving On,From Death To Destiny,242000
5162692e-9389-30f5-b4bb-353c589c4742,At The Gates,The Flames Of The End,Slaughter Of The Soul,176901
3cff8428-4190-3c0e-a6dc-4c3832667632,Athlete,Wires,Tourist,256074
3e426a8c-b290-35a9-91de-7124a74bd080,Atlas Plug,Around The World,Around The World (Remix EP),273737
762ea856-e9da-3ad9-8b04-d7d5dbd1be79,Audioslave,Be Yourself,Out of Exile,279000
0c85d91b-fca0-3b07-923a-2e30ae9cce26,Autour de Lucie,Personne n'est comme toi,French Essentials,188551
400b1b62-a511-360f-8503-1d342bfb7b3e,Ava Inferi,The Heathen Island,Onyx,559000
29ff71f0-a236-3723-aeba-108de6cfe0c1,Avenged Sevenfold,Bat Country,City Of Evil (PA Version),311000
75d5868a-a028-3f5c-93d5-a30889a22aaa,Babylon Zoo,Spaceman,The Boy With The X-Ray Eyes,242000
612116b7-4af5-3170-9538-b132f1913bb8,Barney Kessel,Autumn Leaves,Autumn Leaves,296095
8f2feddc-874d-3621-b9c2-f3e3f87bfca6,Barney Kessel,Autumn Leaves,Swinging Easy!,296095
b7e582b4-f8b5-32a3-92ad-bcc634aaf3e6,Barney Kessel,Little Star,It's A Blue World,270628
eb79675d-fa23-3ab8-93b2-fb16b8ccad4b,Barney Kessel,Little Star,Meets Barney Kessel,275354
9f9874e8-2ec1-3068-bac1-8414713b04df,Bee Gees,You Should Be Dancing,The Ultimate (Japan WPCR-13706) (CD 1),256466
f4c27056-eaa1-3e36-a904-627a9ced0495,Bee Gees,You Should Be Dancing (Edit),Children Of The World,256000
6f1d1a78-9ff9-3fe6-8f6c-b19e724b1a58,Believe,The Witcher Theme,Inspired By The Witcher,132704
21022279-d4c1-30fd-bb13-e69a375f3d14,Beltaine,Bring to the Boil,KoncenTrad,278000
6aea902f-9529-3c0f-a361-02b4621fb3da,Ben Moody Feat. Anastacia,Everything Burns [Radio Remix],Everything Burns,208442
f190ec66-69ce-3215-b2e6-6341ed2b2466,Ben Prunty,MilkyWay (Battle),Ftl: Faster Than Light - Original Soundtrack,160000
a634e37e-c3b3-37aa-8357-383c9a33ba46,Ben Prunty,MilkyWay (Explore),Ftl: Faster Than Light - Original Soundtrack,160000
8244feea-c213-3603-9b65-a5b224465e8c,Beth Gibbons & Rustin Man,Tom The Model,Out Of Season,220792
85df539b-42e0-32f5-9ae2-c3dcc4d3dd32,Biffy Clyro,Bubbles,Only Revolutions,301000
4dc0a9e5-0a81-3553-b13c-866af26038d9,Bill Withers,Ain't No Sunshine,Just As I Am,125000
e89d81c9-7c3f-35e4-b896-73ebea3d8077,Black Attack,Bang Bang - 2 Shots in the Head,On the Edge,239000
530ed0d2-48d6-3844-aa94-8b52bbc5e210,Black Attack,Heartless,On the Edge,237000
ec13a908-910e-30b3-8bd7-20b3b7a1156d,Black Eyed Peas,Don't Lie,Monkey Business,218331
64862548-5562-3544-a569-380bfb6f7569,Black Eyed Peas,Pump It,Monkey Business,212532
ffb42c62-9adc-3f28-ad85-6c29cf6af732,Blackmore's Night,Beyond The Sunset,Under a Violet Moon,224781
1e74589d-9757-3979-9c1e-8a585080f4f2,Blackmore's Night,Gone With The Wind,Under a Violet Moon,323811
44f406a3-6daa-3ad6-8ea2-ac08f419af2a,Blackmore's Night,Minstrel Hall,Shadow of the Moon,155949
c5491b86-da34-3abb-af91-3fa0a7c4d64b,Blackmore's Night,Morning Star,Under a Violet Moon,280970
6f484271-af8e-3a33-811a-848245f37058,Blackmore's Night,No Second Chance,Shadow of the Moon,338570
a05ba6fe-5403-3c4b-8c20-4ae1fac2c4a8,Blackmore's Night,Ocean Gipsy,Shadow of the Moon,365998
856a52c6-4816-362d-adaa-28f726a7a16e,Blackmore's Night,Shadow Of The Moon,Shadow of the Moon,306152
b6ae60fe-a99b-32ce-bf18-50933c395a42,Blackmore's Night,Spirit Of The Sea,Shadow of the Moon,290008
a36e91f9-81f8-3a3c-8f94-c1996499ad4d,Blind Guardian,A Past And Future Secret,Imaginations From The Other Side,228519
5de61058-da06-334b-85ec-ffa25b94d90a,Blind Guardian,Bright Eyes,Imaginations From The Other Side,316865
0e8bcbe5-b751-3f8b-9b6b-8f349aa4818e,Blind Guardian,Bright Eyes (Acoustic Version),The Forgotten Tales,262530
22206b59-b411-354c-86fd-0d9b76ddf342,Blind Guardian,Lord Of The Rings (Orchestral),The Forgotten Tales,236591
8db78c93-ef75-37e3-bd84-1fd17ebccbee,Blind Guardian,Mirror Mirror,Nightfall In Middle Earth,306024
c3b1419f-764d-35ff-b413-8db51f984c16,Blind Guardian,Mordred's Song,Imaginations From The Other Side,329560
35d686e9-a6e0-362a-8289-356fd46a6e9e,Blind Guardian,Noldor,Nightfall In Middle Earth,412238
0b353542-cce7-3cd8-bbf3-96d0621fd7fd,Blind Guardian,The Eldar,Nightfall In Middle Earth,218296
9f3bb4be-c662-3c5d-ad08-35e5c01bb89b,Blind Guardian,The Script For My Requiem,Imaginations From The Other Side,369136
971ef318-6f6c-3066-a3c7-46a4233ae372,Blind Guardian,The Wizard (From Uriah Heep),The Forgotten Tales,197642
dfacee61-fa23-3013-a93c-998e256df12b,Blind Guardian,Theatre Of Pain,Somewhere Far Beyond,256940
0d84f5b1-39ce-3d0d-a1b8-c1ccb480b303,Blind Guardian,To France (From Mike Oldfield),The Forgotten Tales,282514
86ea880c-f048-3be5-a180-a1d3865e8472,Bloodhound Gang,Foxtrot Uniform Charlie Kilo,Hefty Fine,172000
cb0e1a44-63cd-3284-8b28-8717d3a7e915,Bloodhound Gang,The Bad Touch,Hooray For Boobies,260000
3d2412ef-6b36-318d-9d95-81ac0f7a052b,Bloodhound Gang,The Ballad Of Chasey Lain,Hooray For Boobies,141000
c66b6fd2-1fac-3d05-b853-7785aec1b22a,Bloodhound Gang,Uhn Tiss Uhn Tiss Uhn Tiss,Hefty Fine,260000
2e668b41-a1e2-3317-bda5-d849cd2faef5,BlueTonicWorld,Listen,The Deepest Blue Album,288845
80407157-f018-3de4-84ec-5308ba1c241b,Bobby McFerrin,"Don't Worry, Be Happy","Don't Worry, Be Happy! [Disky]",290011
9e3fc124-247d-3a9d-b225-b3363e881dba,Bomfunk MC’s,Freestyler,In Stereo,306000
e376f984-6aef-35ff-9900-9edc740916a5,Bon Jovi,Always,Gold rock ballads,353123
26944617-3b10-3c4e-8529-0c41cd23b6a8,Bon Jovi,It's My Life,Crush,223184
83623078-b36d-397b-b05e-bf6d8a1a6280,Breakbot,Shades Of Black,Let The Children Techno (Compiled and Mixed by Busy P & DJ Mehdi),162000
24e4daf5-6d1b-319c-99e6-2c3c7d9c8599,Bregovic & Kayah,Trudno kochac,Bregovic & Kayah,233532
44529650-abc9-36cd-bf86-46cce0fc4158,Bring Me the Horizon,True Friends,That's The Spirit,232000
2b9a9219-b69e-3f2d-9b4a-b602d01b46df,Britney Spears,Toxic,In The Zone,198000
e041b3cb-5f67-3513-aafe-d8e456ae0899,Bruce Springsteen,Cover Me,Born In The U.S.A.,205000
edd7716e-6bb0-3b41-bb01-44905795f410,Bruce Springsteen,Downbound Train,Born In The U.S.A.,215000
f6e136d4-7175-3628-966c-f5c55cc5b96c,Bruno Pelletier,Lune,Notre Dame de Paris - Complete Version (Live),193000
4567df2b-a584-3c20-9d02-76b67f95b56c,Bruno Pelletier,Où que tu sois,Bruno Pelletier : Sur scène,341718
a3e3de59-8bf3-3e31-89d3-3f621e430075,Buddy Guy,Ain't No Sunshine featuring Tracy Chapman,Bring 'Em In/Skin Deep,204000
1ff63b27-ff6b-31b9-9463-394783671110,bôa,America,Get There,248396
8d19c4ab-0ed4-39bd-a37a-99f242f4b8f4,Bôa,Duvet,The Race Of A Thousand Camels,203622
d7f9516e-db12-3ecf-82fc-f1e7691b358f,bôa,Duvet (Acoustic Version),Tall Snake EP,312000
c20ad863-7d46-3e33-913e-db5a815dfb14,bôa,Twilight,twilight,227812
a7c48fd5-b0d8-3aaf-998a-230e6e0100e0,Carbon Based Lifeforms,Abiogenesis,World Of Sleepers (2015 Remaster),405000
d11f228d-962e-39e0-a0e5-76b95a36fa47,Chevry & Mebrouk,Drapeau blanc,Joueurs de Dames,220238
8f88f8f8-cd7e-396f-93c4-a4963f5a0056,Chevry & Mebrouk,Joueur de dames,Joueurs de Dames,306233
9dd5764a-0141-3e7a-a201-4d95449358f5,Chicane,Lost You Somewhere,Far From The Maddening Crowds,507000
020f1de5-33a2-3aa2-9285-63b10d621469,Children Of Bodom,Children Of Decadence,Follow The Reaper,333164
fede0ba1-17b8-3983-94a9-8a4195b3c540,Children Of Bodom,Follow The Reaper,Follow The Reaper,229355
c41f7cd7-ded4-3d6c-9cb9-b8e8a8bcd7d3,Children Of Bodom,Kissing The Shadows,Follow The Reaper,279327
62752dfb-085a-35d5-bc01-1b29af4f206f,Children of Bodom,Red Light In My Eyes Pt. 2,Something Wild,230217
9660a164-54c6-35c4-ad33-a3ff8f4a2334,Children of Bodom,Somebody Put Something in My Drink,Hate Crew Deathroll,200829
