UUID;Artist;Track title;Album;Duration (milliseconds)
66d5af5f-0ae0-3d5e-97da-041c771e9614;Amorphis;Drowned Maid;Tales From The Thousand Lakes;262002
1748e57e-28c9-32ae-928b-22c4a4e6ab62;Anastacia;Sick And Tired;Anastacia;210337
40648051-6aa3-3071-be5d-fcd084401067;Angtoria;Confide in me;God has a plan for us all;254000
00e98f2c-c1a3-3d3d-87f3-8516840c2aef;Annihilator;King Of The Kill;King Of The Kill;191895
7c500ce6-ff2c-3df2-b8d2-0a876ec8dca2;Anouk;Don't;Lost Tracks;216084
700f0aaf-59a7-38fc-b832-7922f6e4b6aa;Anouk;It Wasn't Me;Urban Solitude;267467
48f62a74-b9da-3c5d-8943-705d0f92e41f;Anouk;Make It Rain;Who's Your Momma;241841
a6438946-d8c9-3453-b8ea-14ec50a117d0;Anouk;Might As Well;Who's Your Momma;189544
ffac1db9-ab7e-3363-841b-438cb0b06840;Apocalyptica;Path;Cult;185354
937fdec7-97c9-33a4-ac74-dec936b3c145;Apocalyptica;Romance;Cult;206310
38a6da21-b13b-3a89-bfdb-96aef741648e;Apocalyptica;Until It Sleeps;Cult;194000
9f54c693-3117-34f6-98f2-2cd15d0974d5;Apocalyptica;Nothing Else Matters;Inquisition Symphony;285544
84a01cc3-afff-35a9-99bf-84ec7f14138d;Arch Enemy;Time Is Black [Instrumental];War Eternal [Limited Artbook  Edition] : CD 3 Instrumental Play-Through;326269
b49b8b65-71f5-3e9f-95fe-73cdfe6d0432;Asking Alexandria;Moving On;From Death To Destiny;242000
5162692e-9389-30f5-b4bb-353c589c4742;At The Gates;The Flames Of The End;Slaughter Of The Soul;176901
3cff8428-4190-3c0e-a6dc-4c3832667632;Athlete;Wires;Tourist;256074
3e426a8c-b290-35a9-91de-7124a74bd080;Atlas Plug;Around The World;Around The World (Remix EP);273737
4aa1f41f-e2b2-3f12-913d-08de85a14312;Audioslave;Be Yourself;Out Of Exile;278174
400b1b62-a511-360f-8503-1d342bfb7b3e;Ava Inferi;The Heathen Island;Onyx;559000
29ff71f0-a236-3723-aeba-108de6cfe0c1;Avenged Sevenfold;Bat Country;City Of Evil (PA Version);311000
75d5868a-a028-3f5c-93d5-a30889a22aaa;Babylon Zoo;Spaceman;The Boy With The X-Ray Eyes;242000
612116b7-4af5-3170-9538-b132f1913bb8;Barney Kessel;Autumn Leaves;Autumn Leaves;296095
b7e582b4-f8b5-32a3-92ad-bcc634aaf3e6;Barney Kessel;Little Star;It's A Blue World;270628
